id	province	district	cluster	school_name	school_code
1	Battambang	Rattanakmondol	បឹងខ្ទុម	ផ្លូវមាស	2070301014
2	Battambang	Rattanakmondol	បឹងខ្ទុម	បឹងខ្ទុម	2070303016
3	Battambang	Rattanakmondol	បឹងខ្ទុម	អូរដា	2070306030
4	Battambang	Rattanakmondol	ត្រែង	ត្រែង	2070401007
5	Battambang	Rattanakmondol	ត្រែង	មាសពិទូគីឡូ៣៨	2070405004
6	Battambang	Rattanakmondol	ត្រែង	សុវត្ថិភាពកុម៉ាតស៊ុ	2070401044
7	Battambang	Rattanakmondol	បាដាក	បាដាក	2070503013
8	Battambang	Rattanakmondol	បាដាក	ពេជ្រចង្វា	2070502020
9	Battambang	Rattanakmondol	បាដាក	នាងពួន	2070508029
10	Battambang	Rattanakmondol	ព្រៃអំពរ	ស៊ិនតុ	2070203001
11	Battambang	Rattanakmondol	ព្រៃអំពរ	ព្រៃអំពរ	2070205008
12	Battambang	Rattanakmondol	ព្រៃអំពរ	កណ្តាលស្ទឹង	2070206011
13	Battambang	Rattanakmondol	ភ្ជាវ	ភ្ជាវ	2070402015
14	Battambang	Rattanakmondol	ភ្ជាវ	ស្វាយស	2070409032
15	Battambang	Rattanakmondol	ភ្ជាវ	តាគ្រក់	2070408031
16	Kampongcham	Kgmeas	កម្រងស្តៅ	ស្ដៅលើ	3071003033
17	Kampongcham	Kgmeas	កម្រងស្តៅ	ស្ដៅ	3071005034
18	Kampongcham	Kgmeas	កម្រងស្តៅ	វត្តចាស់	3070208044
19	Kampongcham	Kgmeas	កម្រងស្តៅ	ព្រែកត្រឡោក	3070202039
20	Kampongcham	Kgmeas	កម្រងព្រែកលីវ	ខ្ចៅ	3070307008
21	Kampongcham	Kgmeas	កម្រងព្រែកលីវ	ស្វាយស្រណោះ	3070807027
22	Kampongcham	Kgmeas	កម្រងព្រែកលីវ	រការអារ	3070809028
23	Kampongcham	Kgmeas	កម្រងព្រែកកុយ	អូរស្វាយ	3070506017
24	Kampongcham	Kgmeas	កម្រងព្រែកកុយ	ព្រែកកុយ	3070501014
25	Kampongcham	Kgmeas	កម្រងអង្គរបាន	សាខា២	3070108004
26	Kampongcham	Kgmeas	កម្រងអង្គរបាន	អន្ទង់ស	3070101001
27	Kampongcham	Kgmeas	កម្រងអង្គរបាន	សាខា១	3070104002
28	Kampongcham	Kgmeas	កម្រងរាយប៉ាយ	ទួលវិហារ	3070703042
29	Kampongcham	Kgmeas	កម្រងរាយប៉ាយ	រាយប៉ាយ	3070601018
30	Kampongcham	Kgmeas	កម្រងរាយប៉ាយ	ទួលបី	3070704023